id,date,country,deaths
1230,2020-08-09,Spain,0
1231,2020-08-09,United Kingdom,8
1232,2020-08-09,France,0
1233,2020-08-09,US,515
1234,2020-08-10,Italy,4
1235,2020-08-10,"Korea, South",0
1236,2020-08-10,Spain,73
1237,2020-08-10,United Kingdom,-48
1238,2020-08-10,France,0
1239,2020-08-10,US,525
1240,2020-08-11,Italy,6
1241,2020-08-11,"Korea, South",0
1242,2020-08-11,Spain,5
1243,2020-08-11,United Kingdom,103
1244,2020-08-11,France,1
1245,2020-08-11,US,1074
1246,2020-08-12,Italy,10
1247,2020-08-12,"Korea, South",0
1248,2020-08-12,Spain,-2
1249,2020-08-12,United Kingdom,77
1250,2020-08-12,France,47
1251,2020-08-12,US,1499
1252,2020-08-13,Italy,6
1253,2020-08-13,"Korea, South",0
1254,2020-08-13,Spain,26
1255,2020-08-13,United Kingdom,0
1256,2020-08-13,France,17
1257,2020-08-13,US,1076
1258,2020-08-14,Italy,3
1259,2020-08-14,"Korea, South",0
1260,2020-08-14,Spain,12
1261,2020-08-14,United Kingdom,0
1262,2020-08-14,France,18
1263,2020-08-14,US,1336
1264,2020-08-15,Italy,158
1265,2020-08-15,"Korea, South",0
1266,2020-08-15,Spain,0
1267,2020-08-15,United Kingdom,0
1268,2020-08-15,France,0
1269,2020-08-15,US,1029
1270,2020-08-16,Italy,4
1271,2020-08-16,"Korea, South",0
1272,2020-08-16,Spain,0
1273,2020-08-16,United Kingdom,5
1274,2020-08-16,France,0
1275,2020-08-16,US,571
1276,2020-08-17,Italy,4
1277,2020-08-17,"Korea, South",1
1278,2020-08-17,Spain,29
1279,2020-08-17,United Kingdom,3
1280,2020-08-17,France,24
1281,2020-08-17,US,445
1282,2020-08-18,Italy,5
1283,2020-08-18,"Korea, South",0
1284,2020-08-18,Spain,24
1285,2020-08-18,United Kingdom,12
1286,2020-08-18,France,0
1287,2020-08-18,US,1324
1288,2020-08-19,Italy,7
1289,2020-08-19,"Korea, South",1
1290,2020-08-19,Spain,127
1291,2020-08-19,United Kingdom,17
1292,2020-08-19,France,0
1293,2020-08-19,US,1356
1294,2020-08-20,Italy,6
1295,2020-08-20,"Korea, South",2
1296,2020-08-20,Spain,16
1297,2020-08-20,United Kingdom,6
1298,2020-08-20,France,0
1299,2020-08-20,US,1078
1300,2020-08-21,Italy,9
1301,2020-08-21,"Korea, South",0
1302,2020-08-21,Spain,25
1303,2020-08-21,United Kingdom,2
1304,2020-08-21,France,74
1305,2020-08-21,US,1108
1306,2020-08-22,Italy,3
1307,2020-08-22,"Korea, South",0
1308,2020-08-22,Spain,0
1309,2020-08-22,United Kingdom,18
1310,2020-08-22,France,9
1311,2020-08-22,US,983
1312,2020-08-23,Italy,7
1313,2020-08-23,"Korea, South",0
1314,2020-08-23,Spain,0
1315,2020-08-23,United Kingdom,6
1316,2020-08-23,France,1
1317,2020-08-23,US,449
1318,2020-08-24,Italy,4
1319,2020-08-24,"Korea, South",1
1320,2020-08-24,Spain,34
1321,2020-08-24,United Kingdom,4
1322,2020-08-24,France,15
1323,2020-08-24,US,450
1324,2020-08-25,Italy,4
1325,2020-08-25,"Korea, South",2
1326,2020-08-25,Spain,52
1327,2020-08-25,United Kingdom,16
1328,2020-08-25,France,16
1329,2020-08-25,US,1234
1330,2020-08-26,Italy,13
1331,2020-08-26,"Korea, South",1
1332,2020-08-26,Spain,47
1333,2020-08-26,United Kingdom,17
1334,2020-08-26,France,0
1335,2020-08-26,US,1222
1336,2020-08-27,Italy,5
1337,2020-08-27,"Korea, South",3
1338,2020-08-27,Spain,25
1339,2020-08-27,United Kingdom,12
1340,2020-08-27,France,32
1341,2020-08-27,US,1116
